number,block1,block2,block3,block4,,,,,,
55,3,10,2,2,,,,,,
55,3,10,3,1,,,,,,
55,3,11,1,2,,,,,,
55,3,11,2,1,,,,,,
55,3,12,1,1,,,,,,
55,4,1,1,11,,,,,,
55,4,1,2,10,,,,,,
55,4,1,3,9,,,,,,
55,4,1,4,8,,,,,,
55,4,1,5,7,,,,,,
55,4,1,6,6,,,,,,
55,4,1,7,5,,,,,,
55,4,1,8,4,,,,,,
55,4,1,9,3,,,,,,
55,4,1,10,2,,,,,,
55,4,1,11,1,,,,,,
55,4,2,1,10,,,,,,
55,4,2,2,9,,,,,,
55,4,2,3,8,,,,,,
55,4,2,4,7,,,,,,
55,4,2,5,6,,,,,,
55,4,2,6,5,,,,,,
55,4,2,7,4,,,,,,
55,4,2,8,3,,,,,,
55,4,2,9,2,,,,,,
55,4,2,10,1,,,,,,
55,4,3,1,9,,,,,,
55,4,3,2,8,,,,,,
55,4,3,3,7,,,,,,
55,4,3,4,6,,,,,,
55,4,3,5,5,,,,,,
55,4,3,6,4,,,,,,
55,4,3,7,3,,,,,,
55,4,3,8,2,,,,,,
55,4,3,9,1,,,,,,
55,4,4,1,8,,,,,,
55,4,4,2,7,,,,,,
55,4,4,3,6,,,,,,
55,4,4,4,5,,,,,,
55,4,4,5,4,,,,,,
55,4,4,6,3,,,,,,
55,4,4,7,2,,,,,,
55,4,4,8,1,,,,,,
55,4,5,1,7,,,,,,
55,4,5,2,6,,,,,,
55,4,5,3,5,,,,,,
55,4,5,4,4,,,,,,
55,4,5,5,3,,,,,,
55,4,5,6,2,,,,,,
55,4,5,7,1,,,,,,
55,4,6,1,6,,,,,,
55,4,6,2,5,,,,,,
55,4,6,3,4,,,,,,
55,4,6,4,3,,,,,,
55,4,6,5,2,,,,,,
55,4,6,6,1,,,,,,
55,4,7,1,5,,,,,,
55,4,7,2,4,,,,,,
55,4,7,3,3,,,,,,
55,4,7,4,2,,,,,,
55,4,7,5,1,,,,,,
55,4,8,1,4,,,,,,
55,4,8,2,3,,,,,,
55,4,8,3,2,,,,,,
55,4,8,4,1,,,,,,
55,4,9,1,3,,,,,,
55,4,9,2,2,,,,,,
55,4,9,3,1,,,,,,
55,4,10,1,2,,,,,,
55,4,10,2,1,,,,,,
55,4,11,1,1,,,,,,
55,5,1,1,10,,,,,,
55,5,1,2,9,,,,,,
55,5,1,3,8,,,,,,
55,5,1,4,7,,,,,,
55,5,1,5,6,,,,,,
55,5,1,6,5,,,,,,
55,5,1,7,4,,,,,,
55,5,1,8,3,,,,,,
55,5,1,9,2,,,,,,
55,5,1,10,1,,,,,,
55,5,2,1,9,,,,,,
55,5,2,2,8,,,,,,
55,5,2,3,7,,,,,,
55,5,2,4,6,,,,,,
55,5,2,5,5,,,,,,
55,5,2,6,4,,,,,,
55,5,2,7,3,,,,,,
55,5,2,8,2,,,,,,
55,5,2,9,1,,,,,,
55,5,3,1,8,,,,,,
55,5,3,2,7,,,,,,
55,5,3,3,6,,,,,,
55,5,3,4,5,,,,,,
55,5,3,5,4,,,,,,
55,5,3,6,3,,,,,,
55,5,3,7,2,,,,,,
55,5,3,8,1,,,,,,
55,5,4,1,7,,,,,,
55,5,4,2,6,,,,,,
55,5,4,3,5,,,,,,
55,5,4,4,4,,,,,,
55,5,4,5,3,,,,,,
55,5,4,6,2,,,,,,
55,5,4,7,1,,,,,,
55,5,5,1,6,,,,,,
55,5,5,2,5,,,,,,
55,5,5,3,4,,,,,,
55,5,5,4,3,,,,,,
55,5,5,5,2,,,,,,
55,5,5,6,1,,,,,,
55,5,6,1,5,,,,,,
55,5,6,2,4,,,,,,
55,5,6,3,3,,,,,,
55,5,6,4,2,,,,,,
55,5,6,5,1,,,,,,
55,5,7,1,4,,,,,,
55,5,7,2,3,,,,,,
55,5,7,3,2,,,,,,
55,5,7,4,1,,,,,,
55,5,8,1,3,,,,,,
55,5,8,2,2,,,,,,
55,5,8,3,1,,,,,,
55,5,9,1,2,,,,,,
55,5,9,2,1,,,,,,
55,5,10,1,1,,,,,,
55,6,1,1,9,,,,,,
55,6,1,2,8,,,,,,
55,6,1,3,7,,,,,,
55,6,1,4,6,,,,,,
55,6,1,5,5,,,,,,
55,6,1,6,4,,,,,,
55,6,1,7,3,,,,,,
55,6,1,8,2,,,,,,
55,6,1,9,1,,,,,,
55,6,2,1,8,,,,,,
55,6,2,2,7,,,,,,
55,6,2,3,6,,,,,,
55,6,2,4,5,,,,,,
55,6,2,5,4,,,,,,
55,6,2,6,3,,,,,,
55,6,2,7,2,,,,,,
55,6,2,8,1,,,,,,
55,6,3,1,7,,,,,,
55,6,3,2,6,,,,,,
55,6,3,3,5,,,,,,
55,6,3,4,4,,,,,,
55,6,3,5,3,,,,,,
55,6,3,6,2,,,,,,
55,6,3,7,1,,,,,,
55,6,4,1,6,,,,,,
55,6,4,2,5,,,,,,
55,6,4,3,4,,,,,,
55,6,4,4,3,,,,,,
55,6,4,5,2,,,,,,
55,6,4,6,1,,,,,,
55,6,5,1,5,,,,,,
55,6,5,2,4,,,,,,
55,6,5,3,3,,,,,,
55,6,5,4,2,,,,,,
55,6,5,5,1,,,,,,
55,6,6,1,4,,,,,,
55,6,6,2,3,,,,,,
55,6,6,3,2,,,,,,
55,6,6,4,1,,,,,,
55,6,7,1,3,,,,,,
55,6,7,2,2,,,,,,
55,6,7,3,1,,,,,,
55,6,8,1,2,,,,,,
55,6,8,2,1,,,,,,
55,6,9,1,1,,,,,,
55,7,1,1,8,,,,,,
55,7,1,2,7,,,,,,
55,7,1,3,6,,,,,,
55,7,1,4,5,,,,,,
55,7,1,5,4,,,,,,
55,7,1,6,3,,,,,,
55,7,1,7,2,,,,,,
55,7,1,8,1,,,,,,
55,7,2,1,7,,,,,,
55,7,2,2,6,,,,,,
55,7,2,3,5,,,,,,
55,7,2,4,4,,,,,,
55,7,2,5,3,,,,,,
55,7,2,6,2,,,,,,
55,7,2,7,1,,,,,,
55,7,3,1,6,,,,,,
55,7,3,2,5,,,,,,
55,7,3,3,4,,,,,,
55,7,3,4,3,,,,,,
55,7,3,5,2,,,,,,
55,7,3,6,1,,,,,,
55,7,4,1,5,,,,,,
55,7,4,2,4,,,,,,
55,7,4,3,3,,,,,,
55,7,4,4,2,,,,,,
55,7,4,5,1,,,,,,
55,7,5,1,4,,,,,,
55,7,5,2,3,,,,,,
55,7,5,3,2,,,,,,
55,7,5,4,1,,,,,,
55,7,6,1,3,,,,,,
55,7,6,2,2,,,,,,
55,7,6,3,1,,,,,,
55,7,7,1,2,,,,,,
55,7,7,2,1,,,,,,
55,7,8,1,1,,,,,,
55,8,1,1,7,,,,,,
55,8,1,2,6,,,,,,
55,8,1,3,5,,,,,,
55,8,1,4,4,,,,,,
55,8,1,5,3,,,,,,
55,8,1,6,2,,,,,,
55,8,1,7,1,,,,,,
55,8,2,1,6,,,,,,
55,8,2,2,5,,,,,,
55,8,2,3,4,,,,,,
55,8,2,4,3,,,,,,
55,8,2,5,2,,,,,,
55,8,2,6,1,,,,,,
55,8,3,1,5,,,,,,
55,8,3,2,4,,,,,,
55,8,3,3,3,,,,,,
55,8,3,4,2,,,,,,
55,8,3,5,1,,,,,,
55,8,4,1,4,,,,,,
55,8,4,2,3,,,,,,
55,8,4,3,2,,,,,,
55,8,4,4,1,,,,,,
55,8,5,1,3,,,,,,
55,8,5,2,2,,,,,,
55,8,5,3,1,,,,,,
55,8,6,1,2,,,,,,
55,8,6,2,1,,,,,,
55,8,7,1,1,,,,,,
55,9,1,1,6,,,,,,
55,9,1,2,5,,,,,,
55,9,1,3,4,,,,,,
55,9,1,4,3,,,,,,
55,9,1,5,2,,,,,,
55,9,1,6,1,,,,,,
55,9,2,1,5,,,,,,
55,9,2,2,4,,,,,,
55,9,2,3,3,,,,,,
55,9,2,4,2,,,,,,
55,9,2,5,1,,,,,,
55,9,3,1,4,,,,,,
55,9,3,2,3,,,,,,
55,9,3,3,2,,,,,,
55,9,3,4,1,,,,,,
55,9,4,1,3,,,,,,
55,9,4,2,2,,,,,,
55,9,4,3,1,,,,,,
55,9,5,1,2,,,,,,
55,9,5,2,1,,,,,,
55,9,6,1,1,,,,,,
55,10,1,1,5,,,,,,
55,10,1,2,4,,,,,,
55,10,1,3,3,,,,,,
55,10,1,4,2,,,,,,
55,10,1,5,1,,,,,,
55,10,2,1,4,,,,,,
55,10,2,2,3,,,,,,
55,10,2,3,2,,,,,,
55,10,2,4,1,,,,,,
55,10,3,1,3,,,,,,
55,10,3,2,2,,,,,,
55,10,3,3,1,,,,,,
55,10,4,1,2,,,,,,
55,10,4,2,1,,,,,,
55,10,5,1,1,,,,,,
55,11,1,1,4,,,,,,
55,11,1,2,3,,,,,,
55,11,1,3,2,,,,,,
55,11,1,4,1,,,,,,
55,11,2,1,3,,,,,,
55,11,2,2,2,,,,,,
55,11,2,3,1,,,,,,
55,11,3,1,2,,,,,,
55,11,3,2,1,,,,,,
55,11,4,1,1,,,,,,
55,12,1,1,3,,,,,,
55,12,1,2,2,,,,,,
55,12,1,3,1,,,,,,
55,12,2,1,2,,,,,,
55,12,2,2,1,,,,,,
55,12,3,1,1,,,,,,
55,13,1,1,2,,,,,,
55,13,1,2,1,,,,,,
55,13,2,1,1,,,,,,
55,14,1,1,1,,,,,,
